"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","685","1.36%","94.22%","42","1.07%","5.78%","727","1.34%"
"Twenties (20-29)","13,723","27.16%","93.11%","1,016","25.98%","6.89%","14,739","27.08%"
"Thirties (30-39)","15,347","30.37%","91.77%","1,377","35.21%","8.23%","16,724","30.72%"
"Forties (40-49)","10,577","20.93%","92.35%","876","22.40%","7.65%","11,453","21.04%"
"Fifties (50-59)","7,005","13.86%","93.89%","456","11.66%","6.11%","7,461","13.71%"
"Sixties (60-69)","2,539","5.03%","95.45%","121","3.09%","4.55%","2,660","4.89%"
"Seventy + (70 and above)","650","1.29%","96.58%","23","0.59%","3.42%","673","1.24%"
"Total Reported","50,526","100%","92.82%","3,911","100%","7.18%","54,437","100.0%"
"Not Reported","266","","","1","","","267",""
"Grand Total","50,792","","","3,912","","","54,704",""
