"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","634","1.25%","94.63%","36","0.92%","5.37%","670","1.22%"
"Twenties (20-29)","13,154","25.89%","93.17%","964","24.62%","6.83%","14,118","25.80%"
"Thirties (30-39)","15,568","30.64%","91.70%","1,409","35.98%","8.30%","16,977","31.02%"
"Forties (40-49)","11,002","21.65%","92.61%","878","22.42%","7.39%","11,880","21.71%"
"Fifties (50-59)","6,999","13.78%","93.59%","479","12.23%","6.41%","7,478","13.67%"
"Sixties (60-69)","2,738","5.39%","95.47%","130","3.32%","4.53%","2,868","5.24%"
"Seventy + (70 and above)","712","1.40%","97.27%","20","0.51%","2.73%","732","1.34%"
"Total Reported","50,807","100%","92.84%","3,916","100%","7.16%","54,723","100%"
"Not Reported","301","","","1","","","302",""
"Grand Total","51,108","","","3,917","","","55,025",""
