"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,004","2.06%","97.38%","27","0.72%","2.62%","1,031","1.97%"
"Twenties (20-29)","15,129","31.09%","93.35%","1,077","28.83%","6.65%","16,206","30.93%"
"Thirties (30-39)","14,323","29.43%","92.25%","1,203","32.20%","7.75%","15,526","29.63%"
"Forties (40-49)","11,067","22.74%","91.81%","987","26.42%","8.19%","12,054","23.00%"
"Fifties (50-59)","5,560","11.43%","93.74%","371","9.93%","6.26%","5,931","11.32%"
"Sixties (60-69)","1,361","2.80%","95.78%","60","1.61%","4.22%","1,421","2.71%"
"Seventy + (70 and above)","221","0.45%","95.26%","11","0.29%","4.74%","232","0.44%"
"Total Reported","48,665","100%","92.87%","3,736","100%","7.13%","52,401","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,665","","","3,736","","","52,401",""
