"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","744","1.48%","95.38%","36","0.94%","4.62%","780","1.44%"
"Twenties (20-29)","13,951","27.78%","93.32%","999","26.14%","6.68%","14,950","27.67%"
"Thirties (30-39)","15,232","30.33%","91.79%","1,363","35.67%","8.21%","16,595","30.71%"
"Forties (40-49)","10,317","20.55%","92.32%","858","22.45%","7.68%","11,175","20.68%"
"Fifties (50-59)","6,891","13.72%","93.93%","445","11.65%","6.07%","7,336","13.58%"
"Sixties (60-69)","2,418","4.82%","95.99%","101","2.64%","4.01%","2,519","4.66%"
"Seventy + (70 and above)","660","1.31%","97.20%","19","0.50%","2.80%","679","1.26%"
"Total Reported","50,213","100%","92.93%","3,821","100%","7.07%","54,034","100%"
"Not Reported","223","","","0","","","223",""
"Grand Total","50,436","","","3,821","","","54,257",""
