"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,784","6.19%","96.57%","99","3.58%","3.43%","2,883","6.04%"
"Twenties","14,544","32.33%","94.97%","771","27.91%","5.03%","15,315","32.07%"
"Thirties","13,246","29.44%","93.05%","990","35.84%","6.95%","14,236","29.81%"
"Forties","10,067","22.38%","93.38%","714","25.85%","6.62%","10,781","22.58%"
"Fifties","3,426","7.62%","95.78%","151","5.47%","4.22%","3,577","7.49%"
"Sixties","785","1.74%","95.62%","36","1.30%","4.38%","821","1.72%"
"Seventy +","137","0.30%","99.28%","1","0.04%","0.72%","138","0.29%"
"Total Reported","44,989","100%","94.22%","2,762","100%","5.78%","47,751","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","44,990","","","2,762","","","47,752",""
