"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","3,035","6.01%","95.44%","145","4.06%","4.56%","3,180","5.88%"
"Twenties","15,972","31.60%","94.04%","1,013","28.37%","5.96%","16,985","31.39%"
"Thirties","14,441","28.57%","92.48%","1,174","32.88%","7.52%","15,615","28.86%"
"Forties","11,631","23.01%","92.40%","957","26.80%","7.60%","12,588","23.26%"
"Fifties","4,358","8.62%","94.76%","241","6.75%","5.24%","4,599","8.50%"
"Sixties","942","1.86%","96.42%","35","0.98%","3.58%","977","1.81%"
"Seventy +","161","0.32%","96.41%","6","0.17%","3.59%","167","0.31%"
"Total Reported","50,540","100%","93.40%","3,571","100%","6.60%","54,111","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,540","","","3,571","","","54,111",""
