"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","763","1.51%","96.34%","29","0.76%","3.66%","792","1.46%"
"Twenties (20-29)","14,523","28.73%","93.55%","1,002","26.29%","6.45%","15,525","28.56%"
"Thirties (30-39)","15,277","30.22%","92.00%","1,328","34.84%","8.00%","16,605","30.54%"
"Forties (40-49)","10,314","20.40%","92.00%","897","23.53%","8.00%","11,211","20.62%"
"Fifties (50-59)","6,780","13.41%","93.91%","440","11.54%","6.09%","7,220","13.28%"
"Sixties (60-69)","2,297","4.54%","95.95%","97","2.54%","4.05%","2,394","4.40%"
"Seventy + (70 and above)","599","1.18%","96.93%","19","0.50%","3.07%","618","1.14%"
"Total Reported","50,553","100%","92.99%","3,812","100%","7.01%","54,365","100%"
"Not Reported","187","","","1","","","188",""
"Grand Total","50,740","","","3,813","","","54,553",""
