"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","767","1.52%","96.60%","27","0.70%","3.40%","794","1.47%"
"Twenties (20-29)","14,173","28.16%","93.28%","1,021","26.63%","6.72%","15,194","28.05%"
"Thirties (30-39)","15,213","30.23%","91.87%","1,347","35.13%","8.13%","16,560","30.57%"
"Forties (40-49)","10,291","20.45%","92.19%","872","22.74%","7.81%","11,163","20.61%"
"Fifties (50-59)","6,889","13.69%","93.93%","445","11.61%","6.07%","7,334","13.54%"
"Sixties (60-69)","2,359","4.69%","95.78%","104","2.71%","4.22%","2,463","4.55%"
"Seventy + (70 and above)","637","1.27%","97.25%","18","0.47%","2.75%","655","1.21%"
"Total Reported","50,329","100%","92.92%","3,834","100%","7.08%","54,163","100%"
"Not Reported","217","","","0","","","217",""
"Grand Total","50,546","","","3,834","","","54,380",""
