"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,030","2.10%","97.54%","26","0.73%","2.46%","1,056","2.01%"
"Twenties (20-29)","15,146","30.85%","93.88%","988","27.78%","6.12%","16,134","30.64%"
"Thirties (30-39)","14,417","29.36%","92.52%","1,166","32.78%","7.48%","15,583","29.59%"
"Forties (40-49)","10,970","22.34%","91.93%","963","27.07%","8.07%","11,933","22.66%"
"Fifties (50-59)","5,850","11.91%","94.51%","340","9.56%","5.49%","6,190","11.75%"
"Sixties (60-69)","1,438","2.93%","96.19%","57","1.60%","3.81%","1,495","2.84%"
"Seventy + (70 and above)","251","0.51%","93.66%","17","0.48%","6.34%","268","0.51%"
"Total Reported","49,102","100%","93.25%","3,557","100%","6.75%","52,659","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,102","","","3,557","","","52,659",""
