"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","682","1.32%","94.99%","36","0.89%","5.01%","718","1.29%"
"Twenties (20-29)","13,475","26.18%","93.00%","1,014","24.98%","7.00%","14,489","26.09%"
"Thirties (30-39)","15,780","30.65%","91.51%","1,464","36.06%","8.49%","17,244","31.05%"
"Forties (40-49)","11,092","21.55%","92.43%","909","22.39%","7.57%","12,001","21.61%"
"Fifties (50-59)","7,064","13.72%","93.58%","485","11.95%","6.42%","7,549","13.59%"
"Sixties (60-69)","2,698","5.24%","95.44%","129","3.18%","4.56%","2,827","5.09%"
"Seventy + (70 and above)","688","1.34%","96.77%","23","0.57%","3.23%","711","1.28%"
"Total Reported","51,479","100%","92.69%","4,060","100%","7.31%","55,539","100%"
"Not Reported","294","","","1","","","295",""
"Grand Total","51,773","","","4,061","","","55,834",""
