"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,067","2.14%","97.35%","29","0.81%","2.65%","1,096","2.05%"
"Twenties (20-29)","15,420","30.99%","93.86%","1,008","28.09%","6.14%","16,428","30.80%"
"Thirties (30-39)","14,582","29.31%","92.54%","1,176","32.77%","7.46%","15,758","29.54%"
"Forties (40-49)","11,062","22.23%","92.03%","958","26.69%","7.97%","12,020","22.53%"
"Fifties (50-59)","5,893","11.84%","94.48%","344","9.58%","5.52%","6,237","11.69%"
"Sixties (60-69)","1,473","2.96%","96.34%","56","1.56%","3.66%","1,529","2.87%"
"Seventy + (70 and above)","254","0.51%","93.38%","18","0.50%","6.62%","272","0.51%"
"Total Reported","49,751","100%","93.27%","3,589","100%","6.73%","53,340","100%"
"Not Reported","0","","","1","","","1",""
"Grand Total","49,751","","","3,590","","","53,341",""
