"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,988","6.11%","95.62%","137","3.84%","4.38%","3,125","5.96%"
"Twenties","15,702","32.12%","93.72%","1,053","29.51%","6.28%","16,755","31.94%"
"Thirties","14,047","28.74%","92.24%","1,181","33.10%","7.76%","15,228","29.03%"
"Forties","11,193","22.90%","92.28%","937","26.26%","7.72%","12,130","23.13%"
"Fifties","3,928","8.04%","94.65%","222","6.22%","5.35%","4,150","7.91%"
"Sixties","869","1.78%","96.66%","30","0.84%","3.34%","899","1.71%"
"Seventy +","157","0.32%","95.15%","8","0.22%","4.85%","165","0.31%"
"Total Reported","48,884","100%","93.20%","3,568","100%","6.80%","52,452","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","48,885","","","3,568","","","52,453",""
