"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","763","1.51%","95.61%","35","0.89%","4.39%","798","1.46%"
"Twenties (20-29)","13,928","27.49%","93.20%","1,017","25.89%","6.80%","14,945","27.37%"
"Thirties (30-39)","15,398","30.39%","91.59%","1,414","36.00%","8.41%","16,812","30.79%"
"Forties (40-49)","10,470","20.66%","92.32%","871","22.17%","7.68%","11,341","20.77%"
"Fifties (50-59)","7,016","13.85%","93.71%","471","11.99%","6.29%","7,487","13.71%"
"Sixties (60-69)","2,460","4.85%","96.06%","101","2.57%","3.94%","2,561","4.69%"
"Seventy + (70 and above)","639","1.26%","97.11%","19","0.48%","2.89%","658","1.21%"
"Total Reported","50,674","100%","92.81%","3,928","100%","7.19%","54,602","100%"
"Not Reported","257","","","1","","","258",""
"Grand Total","50,931","","","3,929","","","54,860",""
