"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","746","1.48%","96.38%","28","0.74%","3.62%","774","1.43%"
"Twenties (20-29)","14,126","27.97%","93.44%","992","26.05%","6.56%","15,118","27.84%"
"Thirties (30-39)","15,336","30.37%","91.86%","1,359","35.69%","8.14%","16,695","30.74%"
"Forties (40-49)","10,355","20.51%","92.33%","860","22.58%","7.67%","11,215","20.65%"
"Fifties (50-59)","6,895","13.65%","93.90%","448","11.76%","6.10%","7,343","13.52%"
"Sixties (60-69)","2,388","4.73%","95.90%","102","2.68%","4.10%","2,490","4.59%"
"Seventy + (70 and above)","653","1.29%","97.17%","19","0.50%","2.83%","672","1.24%"
"Total Reported","50,499","100%","92.99%","3,808","100%","7.01%","54,307","100.0%"
"Not Reported","220","","","0","","","220",""
"Grand Total","50,719","","","3,808","","","54,527",""
