"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","780","1.58%","96.53%","28","0.80%","3.47%","808","1.53%"
"Twenties (20-29)","14,919","30.17%","93.74%","997","28.32%","6.26%","15,916","30.05%"
"Thirties (30-39)","14,556","29.44%","92.50%","1,180","33.52%","7.50%","15,736","29.71%"
"Forties (40-49)","10,228","20.68%","92.80%","793","22.53%","7.20%","11,021","20.81%"
"Fifties (50-59)","6,465","13.07%","93.76%","430","12.22%","6.24%","6,895","13.02%"
"Sixties (60-69)","1,931","3.91%","96.02%","80","2.27%","3.98%","2,011","3.80%"
"Seventy + (70 and above)","569","1.15%","97.93%","12","0.34%","2.07%","581","1.10%"
"Total Reported","49,448","100%","93.35%","3,520","100%","6.65%","52,968","100.0%"
"Not Reported","117","","","1","","","118",""
"Grand Total","49,565","","","3,521","","","53,086",""
