"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","673","1.31%","95.33%","33","0.82%","4.67%","706","1.28%"
"Twenties (20-29)","13,354","26.07%","93.05%","997","24.70%","6.95%","14,351","25.97%"
"Thirties (30-39)","15,672","30.59%","91.49%","1,458","36.12%","8.51%","17,130","31.00%"
"Forties (40-49)","11,092","21.65%","92.38%","915","22.67%","7.62%","12,007","21.73%"
"Fifties (50-59)","7,028","13.72%","93.61%","480","11.89%","6.39%","7,508","13.59%"
"Sixties (60-69)","2,714","5.30%","95.40%","131","3.25%","4.60%","2,845","5.15%"
"Seventy + (70 and above)","692","1.35%","96.92%","22","0.55%","3.08%","714","1.29%"
"Total Reported","51,225","100%","92.70%","4,036","100%","7.30%","55,261","100.0%"
"Not Reported","294","","","1","","","295",""
"Grand Total","51,519","","","4,037","","","55,556",""
