"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","633","1.25%","94.34%","38","0.94%","5.66%","671","1.22%"
"Twenties (20-29)","13,433","26.45%","92.95%","1,019","25.31%","7.05%","14,452","26.37%"
"Thirties (30-39)","15,552","30.63%","91.48%","1,448","35.97%","8.52%","17,000","31.02%"
"Forties (40-49)","10,865","21.40%","92.32%","904","22.45%","7.68%","11,769","21.47%"
"Fifties (50-59)","6,989","13.76%","93.76%","465","11.55%","6.24%","7,454","13.60%"
"Sixties (60-69)","2,647","5.21%","95.32%","130","3.23%","4.68%","2,777","5.07%"
"Seventy + (70 and above)","660","1.30%","96.77%","22","0.55%","3.23%","682","1.24%"
"Total Reported","50,779","100%","92.65%","4,026","100%","7.35%","54,805","100%"
"Not Reported","290","","","1","","","291",""
"Grand Total","51,069","","","4,027","","","55,096",""
