"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,031","2.01%","97.54%","26","0.70%","2.46%","1,057","1.92%"
"Twenties (20-29)","15,750","30.67%","93.64%","1,069","28.58%","6.36%","16,819","30.53%"
"Thirties (30-39)","14,866","28.95%","92.48%","1,209","32.33%","7.52%","16,075","29.18%"
"Forties (40-49)","11,159","21.73%","91.84%","991","26.50%","8.16%","12,150","22.06%"
"Fifties (50-59)","6,143","11.96%","94.52%","356","9.52%","5.48%","6,499","11.80%"
"Sixties (60-69)","1,518","2.96%","95.71%","68","1.82%","4.29%","1,586","2.88%"
"Seventy + (70 and above)","881","1.72%","97.67%","21","0.56%","2.33%","902","1.64%"
"Total Reported","51,348","100%","93.21%","3,740","100%","6.79%","55,088","100.0%"
"Not Reported","289","","","3","","","292",""
"Grand Total","51,637","","","3,743","","","55,380",""
