"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","729","1.46%","97.20%","21","0.56%","2.80%","750","1.40%"
"Twenties (20-29)","14,632","29.35%","93.47%","1,022","27.24%","6.53%","15,654","29.20%"
"Thirties (30-39)","14,916","29.92%","92.01%","1,296","34.54%","7.99%","16,212","30.25%"
"Forties (40-49)","10,141","20.34%","92.13%","866","23.08%","7.87%","11,007","20.53%"
"Fifties (50-59)","6,695","13.43%","93.86%","438","11.67%","6.14%","7,133","13.31%"
"Sixties (60-69)","2,182","4.38%","95.83%","95","2.53%","4.17%","2,277","4.25%"
"Seventy + (70 and above)","555","1.11%","97.54%","14","0.37%","2.46%","569","1.06%"
"Total Reported","49,850","100%","93.00%","3,752","100%","7.00%","53,602","100%"
"Not Reported","159","","","1","","","160",""
"Grand Total","50,009","","","3,753","","","53,762",""
