"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","998","2.01%","96.15%","40","1.10%","3.85%","1,038","1.94%"
"Twenties (20-29)","15,733","31.63%","93.87%","1,027","28.21%","6.13%","16,760","31.40%"
"Thirties (30-39)","14,657","29.47%","92.40%","1,205","33.10%","7.60%","15,862","29.72%"
"Forties (40-49)","11,840","23.81%","92.15%","1,009","27.72%","7.85%","12,849","24.07%"
"Fifties (50-59)","5,096","10.25%","94.34%","306","8.41%","5.66%","5,402","10.12%"
"Sixties (60-69)","1,203","2.42%","96.55%","43","1.18%","3.45%","1,246","2.33%"
"Seventy + (70 and above)","210","0.42%","95.45%","10","0.27%","4.55%","220","0.41%"
"Total Reported","49,737","100%","93.18%","3,640","100%","6.82%","53,377","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,737","","","3,640","","","53,377",""
