"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","654","1.28%","94.78%","36","0.89%","5.22%","690","1.25%"
"Twenties (20-29)","13,468","26.36%","92.97%","1,019","25.33%","7.03%","14,487","26.29%"
"Thirties (30-39)","15,649","30.63%","91.54%","1,447","35.97%","8.46%","17,096","31.02%"
"Forties (40-49)","10,945","21.42%","92.32%","911","22.64%","7.68%","11,856","21.51%"
"Fifties (50-59)","7,020","13.74%","93.89%","457","11.36%","6.11%","7,477","13.57%"
"Sixties (60-69)","2,678","5.24%","95.37%","130","3.23%","4.63%","2,808","5.10%"
"Seventy + (70 and above)","672","1.32%","96.69%","23","0.57%","3.31%","695","1.26%"
"Total Reported","51,086","100%","92.70%","4,023","100%","7.30%","55,109","100%"
"Not Reported","290","","","1","","","291",""
"Grand Total","51,376","","","4,024","","","55,400",""
