"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","848","1.67%","96.47%","31","0.86%","3.53%","879","1.61%"
"Twenties (20-29)","15,639","30.73%","94.04%","991","27.44%","5.96%","16,630","30.51%"
"Thirties (30-39)","14,819","29.12%","92.42%","1,215","33.65%","7.58%","16,034","29.42%"
"Forties (40-49)","10,707","21.04%","92.26%","898","24.87%","7.74%","11,605","21.29%"
"Fifties (50-59)","6,518","12.81%","94.46%","382","10.58%","5.54%","6,900","12.66%"
"Sixties (60-69)","1,795","3.53%","95.73%","80","2.22%","4.27%","1,875","3.44%"
"Seventy + (70 and above)","562","1.10%","97.57%","14","0.39%","2.43%","576","1.06%"
"Total Reported","50,888","100%","93.37%","3,611","100%","6.63%","54,499","100%"
"Not Reported","81","","","1","","","82",""
"Grand Total","50,969","","","3,612","","","54,581",""
