Demographic information
"4  Current age, broken out in ten year age groups"
5  Race group
"6  Marital status, self-reported at entry to prison"
"7  Number of children, self-reported at entry to prison"
"8  Religious affiliation, self-reported at entry to prison"
9  Home county - self-reported at entry to prison
"14  Employment status before prison, self-reported at entry to prison"
15  Age at admission
"17  Height, measured at entry to prison"
"19  Weight, measured at entry to prison"
20  Military service
Correctional information
21  Type of admission to prison
22  Current / last institution type
23  Institution type - transitional centers
24  Institution type - county prisons
26  Institution type - state prisons
28  Institution type - private prisons
29  Institution type - inmate boot camp
30  Number of disciplinary reports
31  Number of transfers
32  Number of escapes
33  Split sentence - Probation to follow
34  Probable future release type of still active inmates
35  Time served in current (or last) institution
"Educational, psychological and physical information"
36  Highest grade level attained
37  Culture fair IQ scores
38  Wide Range Achievement Test (WRAT) reading score
39  Wide Range Achievement Test (WRAT) math score
"Educational, psychological and physical information"
40  Wide Range Achievement Test (WRAT) spelling score
41  Current / last mental health treatment level
42  PULHESDWIT medical scale - 'P' overall condition ('P'hysical)
43  PULHESDWIT medical scale - 'U' upper body
44  PULHESDWIT medical scale - 'L' lower body
45  PULHESDWIT medical scale - 'H' hearing
46  PULHESDWIT medical scale - 'E' vision
47  PULHESDWIT medical scale -'S' psychiatric
48  PULHESDWIT medical scale - 'D' dental
49  PULHESDWIT medical scale - 'W' work ability
50  PULHESDWIT medical scale - 'I' impairment
51  PULHESDWIT medical scale - 'T' transportability
Crimes and criminal history information
52  Number of prior Georgia incarcerations
53  Prison sentence in years
"54  Primary offense, broken out into felonies vs misdemeanors"
"55  Primary offense, broken out into six broad crime categories"
"56  Primary offense, detailed offense code"
64  County of conviction of primary offense
69  Circuit of conviction of primary offense
71  Years served (jail + prison) in this incarceration
Medical information
72  Results of most recent HIV test
73  Results of most recent tuberculosis test
74  Results of most recent syphilis test
75  Results of most recent Hepatitis-C test
"",,Male,,,Female,,Total
Current Age,Count,Col %,Row %,Count,Col %,Row %,Total Col %
Teens (1-19),733,1.47%,96.07%,30,0.84%,3.93%,763  1.43%
Twenties (20-29),"14,929",29.96%,93.64%,"1,014",28.54%,6.36%,"15,943  29.86%"
Thirties (30-39),"14,797",29.69%,92.47%,"1,205",33.92%,7.53%,"16,002  29.97%"
Forties (40-49),"10,197",20.46%,92.79%,792,22.29%,7.21%,"10,989  20.58%"
Fifties (50-59),"6,616",13.28%,94.12%,413,11.62%,5.88%,"7,029  13.17%"
Sixties (60-69),"1,995",4.00%,95.96%,84,2.36%,4.04%,"2,079  3.89%"
Seventy + (70 and above),569,1.14%,97.43%,15,0.42%,2.57%,584  1.09%
Total Reported,"49,836",100%,93.35%,"3,553",100%,6.65%,"53,389  100%"
Not Reported,121,1,122
Grand Total,"49,957","3,554","53,511"
Mean(average),,37.54,36.86,37.50
Median (middle),,35,35,35
Mode(most frequent),,25,28,25
"",,Male,,,Female,,Total
Race Group,Count,Col %,Row %,Count,Col %,Row %,Total Col %
1 White,"16,338",32.70%,89.27%,"1,964",55.26%,10.73%,"18,302  34.20%"
2 Black,"31,316",62.69%,95.39%,"1,512",42.54%,4.61%,"32,828  61.35%"
5 Other,40,.08%,86.96%,6,.17%,13.04%,46  .09%
6 Asian,162,.32%,91.53%,15,.42%,8.47%,177  .33%
9 Unknown,6,.01%,100.00%,,,,6  .01%
10 Hispanic,"2,068",4.14%,97.41%,55,1.55%,2.59%,"2,123  3.97%"
12 Native American,26,.05%,92.86%,2,.06%,7.14%,28  .05%
13 Native Hawaiian,1,.01%,100.00%,,,,1  .01%
Total Reported,"49,957",100%,93.36%,"3,554",100%,6.64%,"53,511  100%"
Not Reported,0,0,0
Grand Total,"49,957","3,554","53,511"
Mode (most frequent),Black,White,Black
"",,Male,,,Female,,Total
