Demographic information
"4  Marital status, self-reported at entry to prison"
"5  Current age, broken out in ten year age groups"
6  Race group
"7  Marital status, self-reported at entry to prison"
"8  Number of Inmates with Dependents, self-reported at entry to prison"
"9  Religious affiliation, self-reported at entry to prison"
10  Home county - self-reported at entry to prison
"15  Employment status before prison, self-reported at entry to prison"
16  Age at admission
18  Age at admission
"21  Height, measured at entry to prison"
"22  Height, measured at entry to prison"
"24  Weight, measured at entry to prison"
25  Military service
Correctional information
26  Type of admission to prison
27  Current / last supervision level
28  Current / last supervision level
29  Current / last institution type
30  Institution type - transitional centers
31  Institution type - county prisons
33  Institution type - state prisons
35  Institution type - private prisons
36  Institution type - inmate boot camp
37  Number of disciplinary reports
38  Number of transfers
39  Number of escapes
40  Number of escapes
41  Split sentence - Probation to follow
42  Probable future release type of still active inmates
Correctional information
43  Time served in current (or last) institution
"Educational, psychological and physical information"
44  Highest grade level attained
45  Culture fair IQ scores
46  Wide Range Achievement Test (WRAT) reading score
47  Wide Range Achievement Test (WRAT) math score
48  Wide Range Achievement Test (WRAT) spelling score
49  Current / last mental health treatment level
50  PULHESDWIT medical scale - 'P' overall condition ('P'hysical)
51  PULHESDWIT medical scale - 'U' upper body
52  PULHESDWIT medical scale - 'L' lower body
53  PULHESDWIT medical scale - 'H' hearing
54  PULHESDWIT medical scale - 'E' vision
55  PULHESDWIT medical scale -'S' psychiatric
56  PULHESDWIT medical scale - 'D' dental
57  PULHESDWIT medical scale - 'W' work ability
58  PULHESDWIT medical scale - 'I' impairment
59  PULHESDWIT medical scale - 'T' transportability
Crimes and criminal history information
60  Number of prior Georgia incarcerations
61  Prison sentence in years
"62  Primary offense, broken out into felonies vs misdemeanors"
"63  Primary offense, broken out into six broad crime categories"
"64  Primary offense, detailed offense code"
72  County of conviction of primary offense
77  Circuit of conviction of primary offense
79  Years served (jail + prison) in this incarceration
Medical information
80  Results of most recent HIV test
81  Results of most recent tuberculosis test
"",,Male,,,Female,,Total
Current Age,Count,Col %,Row %,Count,Col %,Row %,Total Col %
Teens (1-19),747,1.48%,95.77%,33,0.84%,4.23%,780  1.43%
Twenties (20-29),"13,847",27.38%,93.18%,"1,013",25.78%,6.82%,"14,860  27.26%"
Thirties (30-39),"15,366",30.38%,91.52%,"1,424",36.23%,8.48%,"16,790  30.80%"
Forties (40-49),"10,520",20.80%,92.28%,880,22.39%,7.72%,"11,400  20.92%"
Fifties (50-59),"6,993",13.83%,93.84%,459,11.68%,6.16%,"7,452  13.67%"
Sixties (60-69),"2,475",4.89%,96.04%,102,2.60%,3.96%,"2,577  4.73%"
Seventy + (70 and above),628,1.24%,97.06%,19,0.48%,2.94%,647  1.19%
Total Reported,"50,576",100%,92.79%,"3,930",100%,7.21%,"54,506  100%"
Not Reported,257,1,258
Grand Total,"50,833","3,931","54,764"
Mean(average),,38.35,37.44,38.28
Median (middle),,36,36,36
Mode(most frequent),,27,32,27
"",,Male,,,Female,,Total
Race Group,Count,Col %,Row %,Count,Col %,Row %,Total Col %
1 White,"17,302",34.04%,88.25%,"2,303",58.59%,11.75%,"19,605  35.80%"
2 Black,"31,213",61.40%,95.28%,"1,547",39.35%,4.72%,"32,760  59.82%"
5 Other,57,.11%,90.48%,6,.15%,9.52%,63  .12%
6 Asian,176,.35%,94.62%,10,.25%,5.38%,186  .34%
9 Unknown,12,.02%,85.71%,2,.05%,14.29%,14  .03%
10 Hispanic,"2,047",4.03%,97.06%,62,1.58%,2.94%,"2,109  3.85%"
12 Native American,25,.05%,96.15%,1,.03%,3.85%,26  .05%
13 Native Hawaiian,1,.01%,100.00%,,,,1  .01%
Total Reported,"50,833",100%,92.82%,"3,931",100%,7.18%,"54,764  100%"
Not Reported,0,0,0
Grand Total,"50,833","3,931","54,764"
Mode (most frequent),Black,White,Black
"",,Male,,,Female,,Total
Marital Status,Count,Col %,Row %,Count,Col %,Row %,Total Col %
0 Unknown,"1,087",2.14%,86.00%,177,4.50%,14.00%,"1,264  2.31%"
D Divorced,"4,852",9.54%,89.85%,548,13.94%,10.15%,"5,400  9.86%"
M Married,"6,808",13.39%,91.49%,633,16.10%,8.51%,"7,441  13.59%"
S Separated,"1,808",3.56%,84.68%,327,8.32%,15.32%,"2,135  3.90%"
U Unmarried,"35,710",70.25%,94.42%,"2,112",53.73%,5.58%,"37,822  69.06%"
W Widow,568,1.12%,80.91%,134,3.41%,19.09%,702  1.28%
Total Reported,"50,833",100%,92.82%,"3,931",100%,7.18%,"54,764  100%"
Not Reported,0,0,0
Grand Total,"50,833","3,931","54,764"
Mode (most frequent),Unmarried,Unmarried,Unmarried
"",,Male,,,Female,,Total
Number of dependents,Count,Col %,Row %,Count,Col %,Row %,Total Col %
0,"15,718",37.36%,93.77%,"1,045",32.68%,6.23%,"16,763  37.02%"
1,"9,764",23.21%,93.93%,631,19.73%,6.07%,"10,395  22.96%"
2,"7,372",17.52%,91.54%,681,21.29%,8.46%,"8,053  17.79%"
3,"4,446",10.57%,90.57%,463,14.48%,9.43%,"4,909  10.84%"
4,"2,244",5.33%,91.37%,212,6.63%,8.63%,"2,456  5.42%"
5,"1,184",2.81%,92.86%,91,2.85%,7.14%,"1,275  2.82%"
6,596,1.42%,93.13%,44,1.38%,6.88%,640  1.41%
7,312,0.74%,96.00%,13,0.41%,4.00%,325  0.72%
8,164,0.39%,95.91%,7,0.22%,4.09%,171  0.38%
9,86,0.20%,94.51%,5,0.16%,5.49%,91  0.20%
10,86,0.20%,95.56%,4,0.13%,4.44%,90  0.20%
Over 10,105,0.25%,98.13%,2,0.06%,1.87%,107  0.24%
Total Reported,"42,077",100%,92.94%,"3,198",100%,7.06%,"45,275  100%"
Not Reported,"8,756",733,"9,489"
Grand Total,"50,833","3,931","54,764"
Mean(average),,1.49,1.63,1.50
Median (middle),,1,1,1
Mode(most frequent),,0,0,0
"",,Male,,,Female,,Total
Religious Affiliation,Count,Col %,Row %,Count,Col %,Row %,Total Col %
1 Islam,"1,384",6.44%,97.26%,39,1.67%,2.74%,"1,423  5.97%"
2 Catholic,"1,105",5.14%,88.68%,141,6.02%,11.32%,"1,246  5.23%"
3 Baptist,"13,498",62.77%,88.62%,"1,733",74.03%,11.38%,"15,231  63.88%"
4 Methodist,377,1.75%,86.87%,57,2.43%,13.13%,434  1.82%
5 Episcopln,47,.22%,88.68%,6,.26%,11.32%,53  .22%
6 Presbytrn,79,.37%,91.86%,7,.30%,8.14%,86  .36%
7 Chc Of God,408,1.90%,89.08%,50,2.14%,10.92%,458  1.92%
8 Holiness,558,2.59%,83.04%,114,4.87%,16.96%,672  2.82%
9 Jewish,62,.29%,83.78%,12,.51%,16.22%,74  .31%
10 Anglican,40,.19%,93.02%,3,.13%,6.98%,43  .18%
11 Grk Orthdx,3,.01%,60.00%,2,.09%,40.00%,5  .02%
12 Hindu,9,.04%,81.82%,2,.09%,18.18%,11  .05%
13 Buddhist,47,.22%,88.68%,6,.26%,11.32%,53  .22%
14 Taoist,5,.02%,100.00%,,,,5  .02%
15 Shintoist,4,.02%,100.00%,,,,4  .02%
16 Seven D Ad,62,.29%,89.86%,7,.30%,10.14%,69  .29%
17 Jehovah Wt,259,1.20%,88.40%,34,1.45%,11.60%,293  1.23%
18 Latr Day S,24,.11%,85.71%,4,.17%,14.29%,28  .12%
19 Quaker,2,.01%,100.00%,,,,2  .01%
20 Other Prot,"1,890",8.79%,94.31%,114,4.87%,5.69%,"2,004  8.40%"
21 Messianic Judaism,11,.05%,100.00%,,,,11  .05%
96 None,"1,629",7.58%,99.39%,10,.43%,.61%,"1,639  6.87%"
