Demographic information
"4  Current age, broken out in ten year age groups"
5  Race group
"6  Marital status, self-reported at entry to prison"
"7  Number of children, self-reported at entry to prison"
"8  Religious affiliation, self-reported at entry to prison"
9  Home county - self-reported at entry to prison
"14  Employment status before prison, self-reported at entry to prison"
15  Age at admission
17  Age at admission
"20  Height, measured at entry to prison"
"22  Weight, measured at entry to prison"
23  Military service
Correctional information
24  Type of admission to prison
25  Current / last supervision level
26  Current / last institution type
27  Institution type - transitional centers
28  Institution type - county prisons
30  Institution type - state prisons
32  Institution type - private prisons
33  Institution type - inmate boot camp
34  Number of disciplinary reports
35  Number of transfers
36  Number of escapes
37  Split sentence - Probation to follow
38  Probable future release type of still active inmates
39  Time served in current (or last) institution
"Educational, psychological and physical information"
40  Highest grade level attained
41  Culture fair IQ scores
"Educational, psychological and physical information"
42  Wide Range Achievement Test (WRAT) reading score
43  Wide Range Achievement Test (WRAT) math score
44  Wide Range Achievement Test (WRAT) spelling score
45  Current / last mental health treatment level
46  PULHESDWIT medical scale - 'P' overall condition ('P'hysical)
47  PULHESDWIT medical scale - 'U' upper body
48  PULHESDWIT medical scale - 'L' lower body
49  PULHESDWIT medical scale - 'H' hearing
50  PULHESDWIT medical scale - 'E' vision
51  PULHESDWIT medical scale -'S' psychiatric
52  PULHESDWIT medical scale - 'D' dental
53  PULHESDWIT medical scale - 'W' work ability
54  PULHESDWIT medical scale - 'I' impairment
55  PULHESDWIT medical scale - 'T' transportability
Crimes and criminal history information
56  Number of prior Georgia incarcerations
57  Prison sentence in years
"58  Primary offense, broken out into felonies vs misdemeanors"
"59  Primary offense, broken out into six broad crime categories"
"60  Primary offense, detailed offense code"
68  County of conviction of primary offense
73  Circuit of conviction of primary offense
75  Years served (jail + prison) in this incarceration
Medical information
76  Results of most recent HIV test
77  Results of most recent tuberculosis test
78  Results of most recent syphilis test
79  Results of most recent Hepatitis-C test
"",,Male,,,Female,,Total
Current Age,Count,Col %,Row %,Count,Col %,Row %,Total Col %
Teens (1-19),750,1.50%,96.90%,24,0.64%,3.10%,774  1.44%
Twenties (20-29),"14,703",29.36%,93.47%,"1,027",27.22%,6.53%,"15,730  29.21%"
Thirties (30-39),"15,003",29.96%,91.98%,"1,309",34.69%,8.02%,"16,312  30.29%"
Forties (40-49),"10,140",20.25%,92.18%,860,22.79%,7.82%,"11,000  20.43%"
Fifties (50-59),"6,735",13.45%,93.87%,440,11.66%,6.13%,"7,175  13.32%"
Sixties (60-69),"2,193",4.38%,95.68%,99,2.62%,4.32%,"2,292  4.26%"
Seventy + (70 and above),555,1.11%,97.54%,14,0.37%,2.46%,569  1.06%
Total Reported,"50,079",100%,92.99%,"3,773",100%,7.01%,"53,852  100.0%"
Not Reported,173,1,174
Grand Total,"50,252","3,774","54,026"
Mean(average),,37.76,37.22,37.73
Median (middle),,36,36,36
Mode(most frequent),,27,27,27
"",,Male,,,Female,,Total
Race Group,Count,Col %,Row %,Count,Col %,Row %,Total Col %
1 White,"16,730",33.29%,88.60%,"2,152",57.02%,11.40%,"18,882  34.95%"
2 Black,"31,327",62.34%,95.27%,"1,556",41.23%,4.73%,"32,883  60.87%"
5 Other,53,.11%,91.38%,5,.13%,8.62%,58  .11%
6 Asian,161,.32%,94.71%,9,.24%,5.29%,170  .31%
9 Unknown,8,.02%,88.89%,1,.03%,11.11%,9  .02%
10 Hispanic,"1,949",3.88%,97.50%,50,1.32%,2.50%,"1,999  3.70%"
12 Native American,24,.05%,96.00%,1,.03%,4.00%,25  .05%
Total Reported,"50,252",100%,93.01%,"3,774",100%,6.99%,"54,026  100%"
Not Reported,0,0,0
Grand Total,"50,252","3,774","54,026"
Mode (most frequent),Black,White,Black
"",,Male,,,Female,,Total
Marital Status,Count,Col %,Row %,Count,Col %,Row %,Total Col %
