Demographic information
"4  Current age, broken out in ten year age groups"
5  Race group
"6  Marital status, self-reported at entry to prison"
"7  Number of Inmates with Dependents, self-reported at entry to prison"
"8  Religious affiliation, self-reported at entry to prison"
9  Home county - self-reported at entry to prison
"14  Employment status before prison, self-reported at entry to prison"
15  Age at admission
17  Age at admission
"20  Height, measured at entry to prison"
"22  Weight, measured at entry to prison"
23  Military service
Correctional information
24  Type of admission to prison
25  Current / last supervision level
26  Current / last institution type
27  Institution type - transitional centers
28  Institution type - county prisons
30  Institution type - state prisons
32  Institution type - private prisons
33  Institution type - inmate boot camp
34  Number of disciplinary reports
35  Number of transfers
36  Number of escapes
37  Split sentence - Probation to follow
38  Probable future release type of still active inmates
39  Time served in current (or last) institution
"Educational, psychological and physical information"
40  Highest grade level attained
41  Culture fair IQ scores
"Educational, psychological and physical information"
42  Wide Range Achievement Test (WRAT) reading score
43  Wide Range Achievement Test (WRAT) math score
44  Wide Range Achievement Test (WRAT) spelling score
45  Current / last mental health treatment level
46  PULHESDWIT medical scale - 'P' overall condition ('P'hysical)
47  PULHESDWIT medical scale - 'U' upper body
48  PULHESDWIT medical scale - 'L' lower body
49  PULHESDWIT medical scale - 'H' hearing
50  PULHESDWIT medical scale - 'E' vision
51  PULHESDWIT medical scale -'S' psychiatric
52  PULHESDWIT medical scale - 'D' dental
53  PULHESDWIT medical scale - 'W' work ability
54  PULHESDWIT medical scale - 'I' impairment
55  PULHESDWIT medical scale - 'T' transportability
Crimes and criminal history information
56  Number of prior Georgia incarcerations
57  Prison sentence in years
"58  Primary offense, broken out into felonies vs misdemeanors"
"59  Primary offense, broken out into six broad crime categories"
"60  Primary offense, detailed offense code"
"68  Primary offense, detailed offense code"
77  County of conviction of primary offense
82  Circuit of conviction of primary offense
84  Years served (jail + prison) in this incarceration
Medical information
85  Results of most recent HIV test
86  Results of most recent tuberculosis test
87  Results of most recent syphilis test
88  Results of most recent Hepatitis-C test
"",,Male,,,Female,,Total
Current Age,Count,Col %,Row %,Count,Col %,Row %,Total Col %
Teens (1-19),663,1.30%,94.31%,40,1.00%,5.69%,703  1.28%
Twenties (20-29),"13,598",26.74%,93.00%,"1,023",25.69%,7.00%,"14,621  26.66%"
Thirties (30-39),"15,538",30.56%,91.52%,"1,440",36.16%,8.48%,"16,978  30.96%"
Forties (40-49),"10,807",21.25%,92.52%,874,21.95%,7.48%,"11,681  21.30%"
Fifties (50-59),"7,040",13.84%,93.83%,463,11.63%,6.17%,"7,503  13.68%"
Sixties (60-69),"2,559",5.03%,95.49%,121,3.04%,4.51%,"2,680  4.89%"
Seventy + (70 and above),647,1.27%,96.86%,21,0.53%,3.14%,668  1.22%
Total Reported,"50,852",100%,92.74%,"3,982",100%,7.26%,"54,834  100%"
Not Reported,272,1,273
Grand Total,"51,124","3,983","55,107"
Mean(average),,38.53,37.44,38.45
Median (middle),,37,36,36
Mode(most frequent),,29,29,29
"",,Male,,,Female,,Total
Race Group,Count,Col %,Row %,Count,Col %,Row %,Total Col %
1 White,"17,507",34.24%,88.10%,"2,364",59.35%,11.90%,"19,871  36.06%"
2 Black,"31,290",61.20%,95.31%,"1,538",38.61%,4.69%,"32,828  59.57%"
5 Other,56,.11%,88.89%,7,.18%,11.11%,63  .11%
6 Asian,177,.35%,94.65%,10,.25%,5.35%,187  .34%
9 Unknown,15,.03%,100.00%,,,,15  .03%
10 Hispanic,"2,058",4.03%,97.03%,63,1.58%,2.97%,"2,121  3.85%"
12 Native American,21,.04%,95.45%,1,.03%,4.55%,22  .04%
Total Reported,"51,124",100%,92.77%,"3,983",100%,7.23%,"55,107  100%"
Not Reported,0,0,0
Grand Total,"51,124","3,983","55,107"
Mode (most frequent),Black,White,Black
"",,Male,,,Female,,Total
Marital Status,Count,Col %,Row %,Count,Col %,Row %,Total Col %
0 Unknown,"1,699",3.32%,88.95%,211,5.30%,11.05%,"1,910  3.47%"
