"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","17,396","34.14%","88.32%","2,301","58.50%","11.68%","19,697","35.89%"
"Black","31,204","61.25%","95.26%","1,551","39.44%","4.74%","32,755","59.68%"
"Other","55",".11%","90.16%","6",".15%","9.84%","61",".11%"
"Asian","178",".35%","93.68%","12",".31%","6.32%","190",".35%"
"Unknown","14",".03%","93.33%","1",".03%","6.67%","15",".03%"
"Hispanic","2,076","4.07%","97.15%","61","1.55%","2.85%","2,137","3.89%"
"Native American","24",".05%","96.00%","1",".03%","4.00%","25",".05%"
"Native Hawaiian","1",".01%","100.00%","0","0%","0%","1",".01%"
"Total Reported","50,948","100%","92.83%","3,933","100%","7.17%","54,881","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,948","","","3,933","","","54,881",""
