"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","16,666","33.16%","88.68%","2,128","56.91%","11.32%","18,794","34.81%"
"Black","31,363","62.41%","95.31%","1,544","41.29%","4.69%","32,907","60.95%"
"Other","54",".11%","91.53%","5",".13%","8.47%","59",".11%"
"Asian","169",".34%","94.94%","9",".24%","5.06%","178",".33%"
"Unknown","10",".02%","83.33%","2",".05%","16.67%","12",".02%"
"Hispanic","1,964","3.91%","97.52%","50","1.34%","2.48%","2,014","3.73%"
"Native American","26",".05%","96.30%","1",".03%","3.70%","27",".05%"
"Total Reported","50,252","100%","93.07%","3,739","100%","6.93%","53,991","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,252","","","3,739","","","53,991",""
