"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"14","16","0.03%","88.89%","2","0.05%","11.11%","18","0.03%"
"15","60","0.12%","100.00%","","","","60","0.11%"
"16","156","0.31%","98.11%","3","0.08%","1.89%","159","0.29%"
"17","725","1.43%","96.15%","29","0.76%","3.85%","754","1.38%"
"18","1,333","2.63%","97.37%","36","0.94%","2.63%","1,369","2.51%"
"19","1,893","3.73%","96.63%","66","1.73%","3.37%","1,959","3.59%"
"20","2,112","4.17%","95.83%","92","2.41%","4.17%","2,204","4.04%"
"21","2,137","4.22%","95.96%","90","2.36%","4.04%","2,227","4.09%"
"22","2,266","4.47%","95.21%","114","2.99%","4.79%","2,380","4.37%"
"23","2,058","4.06%","93.93%","133","3.49%","6.07%","2,191","4.02%"
"24","2,058","4.06%","93.16%","151","3.96%","6.84%","2,209","4.05%"
"25","2,000","3.94%","93.59%","137","3.60%","6.41%","2,137","3.92%"
"26","1,906","3.76%","92.93%","145","3.81%","7.07%","2,051","3.76%"
"27","1,858","3.66%","92.71%","146","3.83%","7.29%","2,004","3.68%"
"28","1,783","3.52%","92.82%","138","3.62%","7.18%","1,921","3.52%"
"29","1,716","3.38%","92.31%","143","3.75%","7.69%","1,859","3.41%"
"30","1,715","3.38%","91.71%","155","4.07%","8.29%","1,870","3.43%"
"31","1,563","3.08%","91.83%","139","3.65%","8.17%","1,702","3.12%"
"32","1,422","2.80%","91.74%","128","3.36%","8.26%","1,550","2.84%"
"33","1,484","2.93%","90.93%","148","3.88%","9.07%","1,632","2.99%"
"34","1,387","2.74%","90.18%","151","3.96%","9.82%","1,538","2.82%"
"35","1,400","2.76%","92.11%","120","3.15%","7.89%","1,520","2.79%"
"36","1,379","2.72%","92.61%","110","2.89%","7.39%","1,489","2.73%"
"37","1,286","2.54%","92.39%","106","2.78%","7.61%","1,392","2.55%"
"38","1,153","2.27%","92.02%","100","2.62%","7.98%","1,253","2.30%"
"39","1,086","2.14%","90.95%","108","2.83%","9.05%","1,194","2.19%"
"40","986","1.94%","91.64%","90","2.36%","8.36%","1,076","1.97%"
"41","954","1.88%","91.73%","86","2.26%","8.27%","1,040","1.91%"
"42","929","1.83%","93.55%","64","1.68%","6.45%","993","1.82%"
"43","873","1.72%","91.41%","82","2.15%","8.59%","955","1.75%"
"44","794","1.57%","90.33%","85","2.23%","9.67%","879","1.61%"
"45","759","1.50%","91.01%","75","1.97%","8.99%","834","1.53%"
"46","745","1.47%","90.74%","76","1.99%","9.26%","821","1.51%"
"47","698","1.38%","90.06%","77","2.02%","9.94%","775","1.42%"
"48","656","1.29%","89.37%","78","2.05%","10.63%","734","1.35%"
"49","652","1.29%","91.57%","60","1.57%","8.43%","712","1.31%"
"50","570","1.12%","91.79%","51","1.34%","8.21%","621","1.14%"
"51","472","0.93%","90.25%","51","1.34%","9.75%","523","0.96%"
"52","482","0.95%","91.46%","45","1.18%","8.54%","527","0.97%"
"53","464","0.92%","91.88%","41","1.08%","8.12%","505","0.93%"
"54","427","0.84%","92.42%","35","0.92%","7.58%","462","0.85%"
"55","344","0.68%","94.51%","20","0.52%","5.49%","364","0.67%"
"56","328","0.65%","93.71%","22","0.58%","6.29%","350","0.64%"
"57","243","0.48%","94.55%","14","0.37%","5.45%","257","0.47%"
"58","226","0.45%","96.17%","9","0.24%","3.83%","235","0.43%"
"59","195","0.38%","92.42%","16","0.42%","7.58%","211","0.39%"
"60","147","0.29%","93.63%","10","0.26%","6.37%","157","0.29%"
"61","136","0.27%","97.84%","3","0.08%","2.16%","139","0.26%"
"62","114","0.22%","92.68%","9","0.24%","7.32%","123","0.23%"
"63","93","0.18%","96.88%","3","0.08%","3.13%","96","0.18%"
"64","90","0.18%","94.74%","5","0.13%","5.26%","95","0.17%"
"65","64","0.13%","98.46%","1","0.03%","1.54%","65","0.12%"
"66","46","0.09%","95.83%","2","0.05%","4.17%","48","0.09%"
"67","51","0.10%","98.08%","1","0.03%","1.92%","52","0.10%"
"68","40","0.08%","97.56%","1","0.03%","2.44%","41","0.08%"
"69","36","0.07%","97.30%","1","0.03%","2.70%","37","0.07%"
"70","28","0.06%","96.55%","1","0.03%","3.45%","29","0.05%"
"71","14","0.03%","100.00%","","","","14","0.03%"
"72","20","0.04%","90.91%","2","0.05%","9.09%","22","0.04%"
"73","13","0.03%","100.00%","","","","13","0.02%"
"74","9","0.02%","75.00%","3","0.08%","25.00%","12","0.02%"
"75","11","0.02%","100.00%","","","","11","0.02%"
"76","12","0.02%","100.00%","","","","12","0.02%"
"77","6","0.01%","100.00%","","","","6","0.01%"
"78","3","0.01%","100.00%","","","","3","0.01%"
"79","3","0.01%","100.00%","","","","3","0.01%"
"80","1","0.01%","50.00%","1","0.03%","50.00%","2","0.01%"
"81","3","0.01%","100.00%","","","","3","0.01%"
"82","5","0.01%","100.00%","","","","5","0.01%"
"83","1","0.01%","100.00%","","","","1","0.01%"
"84","3","0.01%","100.00%","","","","3","0.01%"
"85","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","50,699","100%","93.01%","3,810","100%","6.99%","54,509","100%"
"Not Reported","1",,,"0",,,"1",
"Grand Total","50,700",,,"3,810",,,"54,510",
