"Age At Admission","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"14","8","0.02%","80.00%","2","0.05%","20.00%","10","0.02%"
"15","49","0.10%","100.00%","","","","49","0.09%"
"16","126","0.25%","98.44%","2","0.05%","1.56%","128","0.23%"
"17","651","1.27%","95.45%","31","0.79%","4.55%","682","1.24%"
"18","1,279","2.50%","96.60%","45","1.14%","3.40%","1,324","2.41%"
"19","1,809","3.54%","96.63%","63","1.60%","3.37%","1,872","3.40%"
"20","2,052","4.02%","95.66%","93","2.36%","4.34%","2,145","3.90%"
"21","2,029","3.97%","95.48%","96","2.44%","4.52%","2,125","3.86%"
"22","2,061","4.03%","94.41%","122","3.10%","5.59%","2,183","3.97%"
"23","1,990","3.89%","94.22%","122","3.10%","5.78%","2,112","3.84%"
"24","1,998","3.91%","92.84%","154","3.91%","7.16%","2,152","3.91%"
"25","1,953","3.82%","92.69%","154","3.91%","7.31%","2,107","3.83%"
"26","1,930","3.78%","92.92%","147","3.73%","7.08%","2,077","3.77%"
"27","1,956","3.83%","93.14%","144","3.65%","6.86%","2,100","3.81%"
"28","1,823","3.57%","93.01%","137","3.48%","6.99%","1,960","3.56%"
"29","1,782","3.49%","91.95%","156","3.96%","8.05%","1,938","3.52%"
"30","1,678","3.28%","91.84%","149","3.78%","8.16%","1,827","3.32%"
"31","1,605","3.14%","91.25%","154","3.91%","8.75%","1,759","3.20%"
"32","1,489","2.91%","90.57%","155","3.93%","9.43%","1,644","2.99%"
"33","1,559","3.05%","92.03%","135","3.43%","7.97%","1,694","3.08%"
"34","1,376","2.69%","90.29%","148","3.76%","9.71%","1,524","2.77%"
"35","1,392","2.72%","91.76%","125","3.17%","8.24%","1,517","2.76%"
"36","1,373","2.69%","92.40%","113","2.87%","7.60%","1,486","2.70%"
"37","1,329","2.60%","91.53%","123","3.12%","8.47%","1,452","2.64%"
"38","1,240","2.43%","91.92%","109","2.77%","8.08%","1,349","2.45%"
"39","1,154","2.26%","92.25%","97","2.46%","7.75%","1,251","2.27%"
"40","1,131","2.21%","90.77%","115","2.92%","9.23%","1,246","2.26%"
"41","1,008","1.97%","91.14%","98","2.49%","8.86%","1,106","2.01%"
"42","909","1.78%","92.94%","69","1.75%","7.06%","978","1.78%"
"43","848","1.66%","91.58%","78","1.98%","8.42%","926","1.68%"
"44","764","1.49%","92.16%","65","1.65%","7.84%","829","1.51%"
"45","777","1.52%","91.63%","71","1.80%","8.37%","848","1.54%"
"46","770","1.51%","90.16%","84","2.13%","9.84%","854","1.55%"
"47","727","1.42%","90.88%","73","1.85%","9.13%","800","1.45%"
"48","704","1.38%","91.31%","67","1.70%","8.69%","771","1.40%"
"49","630","1.23%","91.17%","61","1.55%","8.83%","691","1.26%"
"50","573","1.12%","91.97%","50","1.27%","8.03%","623","1.13%"
"51","490","0.96%","92.11%","42","1.07%","7.89%","532","0.97%"
"52","540","1.06%","92.15%","46","1.17%","7.85%","586","1.06%"
"53","487","0.95%","91.37%","46","1.17%","8.63%","533","0.97%"
"54","426","0.83%","92.41%","35","0.89%","7.59%","461","0.84%"
"55","414","0.81%","93.88%","27","0.69%","6.12%","441","0.80%"
"56","338","0.66%","91.60%","31","0.79%","8.40%","369","0.67%"
"57","308","0.60%","95.06%","16","0.41%","4.94%","324","0.59%"
"58","264","0.52%","94.62%","15","0.38%","5.38%","279","0.51%"
"59","216","0.42%","91.14%","21","0.53%","8.86%","237","0.43%"
"60","193","0.38%","94.15%","12","0.30%","5.85%","205","0.37%"
"61","178","0.35%","96.22%","7","0.18%","3.78%","185","0.34%"
"62","122","0.24%","92.42%","10","0.25%","7.58%","132","0.24%"
"63","114","0.22%","95.80%","5","0.13%","4.20%","119","0.22%"
"64","95","0.19%","95.00%","5","0.13%","5.00%","100","0.18%"
"65","56","0.11%","96.55%","2","0.05%","3.45%","58","0.11%"
"66","58","0.11%","96.67%","2","0.05%","3.33%","60","0.11%"
"67","49","0.10%","96.08%","2","0.05%","3.92%","51","0.09%"
"68","37","0.07%","94.87%","2","0.05%","5.13%","39","0.07%"
"69","37","0.07%","97.37%","1","0.03%","2.63%","38","0.07%"
"70","34","0.07%","97.14%","1","0.03%","2.86%","35","0.06%"
"71","16","0.03%","88.89%","2","0.05%","11.11%","18","0.03%"
"72","19","0.04%","90.48%","2","0.05%","9.52%","21","0.04%"
"73","16","0.03%","100.00%","","","","16","0.03%"
"74","7","0.01%","87.50%","1","0.03%","12.50%","8","0.01%"
"75","16","0.03%","100.00%","","","","16","0.03%"
"76","13","0.03%","100.00%","","","","13","0.02%"
"77","6","0.01%","100.00%","","","","6","0.01%"
"78","5","0.01%","100.00%","","","","5","0.01%"
"79","3","0.01%","100.00%","","","","3","0.01%"
"80","2","0.01%","66.67%","1","0.03%","33.33%","3","0.01%"
"81","3","0.01%","100.00%","","","","3","0.01%"
"82","6","0.01%","100.00%","","","","6","0.01%"
"83","2","0.01%","100.00%","","","","2","0.01%"
"84","4","0.01%","100.00%","","","","4","0.01%"
"86","1","0.01%","100.00%","","","","1","0.01%"
"87","1","0.01%","100.00%","","","","1","0.01%"
"Total Reported","51,108","100%","92.84%","3,941","100%","7.16%","55,049","100%"
"Not Reported","1",,,"0",,,"1",
"Grand Total","51,109",,,"3,941",,,"55,050",
