"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","468","0.92%","93.60%","32","0.89%","6.40%","500","0.92%"
"1.1 - 2","718","1.41%","90.77%","73","2.02%","9.23%","791","1.45%"
"2.1 - 3","932","1.83%","91.82%","83","2.30%","8.18%","1,015","1.86%"
"3.1 - 4","926","1.82%","92.23%","78","2.16%","7.77%","1,004","1.84%"
"4.1 - 5","2,236","4.39%","90.75%","228","6.32%","9.25%","2,464","4.52%"
"5.1 - 6","1,146","2.25%","90.38%","122","3.38%","9.62%","1,268","2.33%"
"6.1 - 7","1,261","2.48%","92.18%","107","2.96%","7.82%","1,368","2.51%"
"7.1 - 8","1,226","2.41%","91.22%","118","3.27%","8.78%","1,344","2.46%"
"8.1 - 9","1,170","2.30%","91.62%","107","2.96%","8.38%","1,277","2.34%"
"9.1 - 10","5,772","11.34%","90.87%","580","16.07%","9.13%","6,352","11.65%"
"10.1 - 12","2,887","5.67%","91.74%","260","7.20%","8.26%","3,147","5.77%"
"12.1 - 15","5,561","10.92%","92.39%","458","12.69%","7.61%","6,019","11.04%"
"15.1 - 20","9,587","18.83%","94.26%","584","16.18%","5.74%","10,171","18.65%"
"20.1 - Over","9,081","17.83%","95.62%","416","11.53%","4.38%","9,497","17.42%"
"Life","6,942","13.63%","95.38%","336","9.31%","4.62%","7,278","13.35%"
"Life Without Parole","904","1.78%","97.20%","26","0.72%","2.80%","930","1.71%"
"Death","98","0.19%","98.99%","1","0.03%","1.01%","99","0.18%"
"Youthful Offenders","2","0.01%","100.00%","0","0.00%","0.00%","2","0.01%"
"Total Reported","50,917","100%","93.38%","3,609","100%","6.62%","54,526","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,917","","","3,609","","","54,526",""
