"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,452","2.83%","90.24%","157","4.27%","9.76%","1,609","2.93%"
"1.1 - 2","2,983","5.82%","89.88%","336","9.13%","10.12%","3,319","6.04%"
"2.1 - 3","3,663","7.14%","89.91%","411","11.17%","10.09%","4,074","7.41%"
"3.1 - 4","2,964","5.78%","91.00%","293","7.96%","9.00%","3,257","5.93%"
"4.1 - 5","4,760","9.28%","91.49%","443","12.04%","8.51%","5,203","9.47%"
"5.1 - 6","2,223","4.34%","90.18%","242","6.58%","9.82%","2,465","4.49%"
"6.1 - 7","2,175","4.24%","92.36%","180","4.89%","7.64%","2,355","4.29%"
"7.1 - 8","1,994","3.89%","92.66%","158","4.29%","7.34%","2,152","3.92%"
"8.1 - 9","1,504","2.93%","92.67%","119","3.23%","7.33%","1,623","2.95%"
"9.1 - 10","5,542","10.81%","93.58%","380","10.33%","6.42%","5,922","10.78%"
"10.1 - 12","2,746","5.36%","94.56%","158","4.29%","5.44%","2,904","5.28%"
"12.1 - 15","3,960","7.72%","95.47%","188","5.11%","4.53%","4,148","7.55%"
"15.1 - 20","3,989","7.78%","96.03%","165","4.48%","3.97%","4,154","7.56%"
"20.1 - Over","3,458","6.74%","97.24%","98","2.66%","2.76%","3,556","6.47%"
"Life","6,932","13.52%","95.48%","328","8.91%","4.52%","7,260","13.21%"
"Life Without Parole","832","1.62%","97.31%","23","0.63%","2.69%","855","1.56%"
"Death","90","0.18%","98.90%","1","0.03%","1.10%","91","0.17%"
"Youthful Offenders","2","0.01%","100.00%","0","0.00%","0.00%","2","0.01%"
"Total Reported","51,269","100%","93.30%","3,680","100%","6.70%","54,949","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","51,269","","","3,680","","","54,949",""
