"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","404","0.85%","93.30%","29","0.84%","6.70%","433","0.85%"
"1.1 - 2","630","1.32%","91.44%","59","1.71%","8.56%","689","1.35%"
"2.1 - 3","996","2.08%","88.38%","131","3.80%","11.62%","1,127","2.20%"
"3.1 - 4","837","1.75%","90.39%","89","2.58%","9.61%","926","1.81%"
"4.1 - 5","1,593","3.33%","90.67%","164","4.76%","9.33%","1,757","3.43%"
"5.1 - 6","944","1.98%","89.99%","105","3.05%","10.01%","1,049","2.05%"
"6.1 - 7","917","1.92%","92.81%","71","2.06%","7.19%","988","1.93%"
"7.1 - 8","980","2.05%","92.19%","83","2.41%","7.81%","1,063","2.08%"
"8.1 - 9","1,057","2.21%","92.96%","80","2.32%","7.04%","1,137","2.22%"
"9.1 - 10","3,116","6.52%","89.57%","363","10.53%","10.43%","3,479","6.79%"
"10.1 - 12","1,954","4.09%","91.57%","180","5.22%","8.43%","2,134","4.17%"
"12.1 - 15","4,571","9.57%","92.68%","361","10.48%","7.32%","4,932","9.63%"
"15.1 - 20","9,004","18.85%","93.49%","627","18.20%","6.51%","9,631","18.80%"
"20.1 - Over","11,674","24.44%","94.58%","669","19.41%","5.42%","12,343","24.10%"
"Life","7,370","15.43%","95.18%","373","10.82%","4.82%","7,743","15.12%"
"Life Without Parole","1,601","3.35%","96.50%","58","1.68%","3.50%","1,659","3.24%"
"Death","77","0.16%","98.72%","1","0.03%","1.28%","78","0.15%"
"Youthful Offenders","48","0.10%","94.12%","3","0.09%","5.88%","51","0.10%"
"Total Reported","47,773","100%","93.27%","3,446","100%","6.73%","51,219","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","47,773","","","3,446","","","51,219",""
