"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","482","1.10%","92.34%","40","1.34%","7.66%","522","1.12%"
"1.1 - 2","542","1.24%","91.86%","48","1.61%","8.14%","590","1.27%"
"2.1 - 3","855","1.96%","90.00%","95","3.19%","10.00%","950","2.04%"
"3.1 - 4","783","1.79%","92.44%","64","2.15%","7.56%","847","1.82%"
"4.1 - 5","1,277","2.93%","89.99%","142","4.77%","10.01%","1,419","3.04%"
"5.1 - 6","835","1.91%","92.67%","66","2.21%","7.33%","901","1.93%"
"6.1 - 7","788","1.80%","92.60%","63","2.11%","7.40%","851","1.82%"
"7.1 - 8","893","2.05%","91.40%","84","2.82%","8.60%","977","2.09%"
"8.1 - 9","986","2.26%","93.73%","66","2.21%","6.27%","1,052","2.26%"
"9.1 - 10","2,454","5.62%","90.82%","248","8.32%","9.18%","2,702","5.79%"
"10.1 - 12","1,632","3.74%","91.02%","161","5.40%","8.98%","1,793","3.84%"
"12.1 - 15","3,895","8.92%","92.80%","302","10.13%","7.20%","4,197","9.00%"
"15.1 - 20","8,195","18.77%","93.74%","547","18.36%","6.26%","8,742","18.74%"
"20.1 - Over","11,192","25.64%","94.68%","629","21.11%","5.32%","11,821","25.35%"
"Life","7,182","16.45%","95.18%","364","12.21%","4.82%","7,546","16.18%"
"Life Without Parole","1,603","3.67%","96.39%","60","2.01%","3.61%","1,663","3.57%"
"Death","38","0.09%","97.44%","1","0.03%","2.56%","39","0.08%"
"Youthful Offenders","26","0.06%","100.00%","0","0.00%","0.00%","26","0.06%"
"Total Reported","43,658","100%","93.61%","2,980","100%","6.39%","46,638","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","43,658","","","2,980","","","46,638",""
