"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,339","2.71%","88.03%","182","4.96%","11.97%","1,521","2.87%"
"1.1 - 2","3,454","7.00%","87.09%","512","13.94%","12.91%","3,966","7.48%"
"2.1 - 3","3,884","7.87%","88.37%","511","13.91%","11.63%","4,395","8.29%"
"3.1 - 4","2,896","5.87%","89.49%","340","9.26%","10.51%","3,236","6.10%"
"4.1 - 5","5,295","10.73%","91.45%","495","13.48%","8.55%","5,790","10.92%"
"5.1 - 6","2,025","4.10%","92.59%","162","4.41%","7.41%","2,187","4.12%"
"6.1 - 7","1,975","4.00%","93.74%","132","3.59%","6.26%","2,107","3.97%"
"7.1 - 8","1,881","3.81%","93.44%","132","3.59%","6.56%","2,013","3.80%"
"8.1 - 9","700","1.42%","93.58%","48","1.31%","6.42%","748","1.41%"
"9.1 - 10","6,227","12.62%","94.41%","369","10.05%","5.59%","6,596","12.44%"
"10.1 - 12","2,489","5.04%","95.22%","125","3.40%","4.78%","2,614","4.93%"
"12.1 - 15","3,704","7.51%","96.03%","153","4.17%","3.97%","3,857","7.27%"
"15.1 - 20","3,634","7.36%","96.47%","133","3.62%","3.53%","3,767","7.10%"
"20.1 - Over","2,879","5.83%","97.33%","79","2.15%","2.67%","2,958","5.58%"
"Life","6,375","12.92%","95.65%","290","7.90%","4.35%","6,665","12.57%"
"Life Without Parole","488","0.99%","98.19%","9","0.25%","1.81%","497","0.94%"
"Death","102","0.21%","99.03%","1","0.03%","0.97%","103","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,350","100%","93.07%","3,673","100.0%","6.93%","53,023","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,350","","","3,673","","","53,023",""
