"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","3,411","6.83%","90.65%","352","9.84%","9.35%","3,763","7.03%"
"1.1 - 2","3,773","7.55%","88.53%","489","13.67%","11.47%","4,262","7.96%"
"2.1 - 3","3,903","7.81%","89.27%","469","13.11%","10.73%","4,372","8.17%"
"3.1 - 4","2,637","5.28%","90.81%","267","7.46%","9.19%","2,904","5.42%"
"4.1 - 5","4,966","9.94%","91.64%","453","12.66%","8.36%","5,419","10.12%"
"5.1 - 6","1,971","3.95%","92.67%","156","4.36%","7.33%","2,127","3.97%"
"6.1 - 7","1,911","3.83%","93.91%","124","3.47%","6.09%","2,035","3.80%"
"7.1 - 8","1,807","3.62%","93.58%","124","3.47%","6.42%","1,931","3.61%"
"8.1 - 9","685","1.37%","94.09%","43","1.20%","5.91%","728","1.36%"
"9.1 - 10","5,995","12.00%","94.41%","355","9.92%","5.59%","6,350","11.86%"
"10.1 - 12","2,413","4.83%","95.45%","115","3.21%","4.55%","2,528","4.72%"
"12.1 - 15","3,472","6.95%","96.07%","142","3.97%","3.93%","3,614","6.75%"
"15.1 - 20","3,482","6.97%","96.48%","127","3.55%","3.52%","3,609","6.74%"
"20.1 - Over","2,745","5.49%","97.51%","70","1.96%","2.49%","2,815","5.26%"
"Life","6,212","12.43%","95.61%","285","7.97%","4.39%","6,497","12.14%"
"Life Without Parole","467","0.93%","98.73%","6","0.17%","1.27%","473","0.88%"
"Death","103","0.21%","99.04%","1","0.03%","0.96%","104","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,956","100%","93.32%","3,578","100.0%","6.68%","53,534","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,956","","","3,578","","","53,534",""
