"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,439","3.11%","91.08%","141","4.58%","8.92%","1,580","3.20%"
"1.1 - 2","3,422","7.40%","89.28%","411","13.36%","10.72%","3,833","7.77%"
"2.1 - 3","3,493","7.55%","89.11%","427","13.88%","10.89%","3,920","7.95%"
"3.1 - 4","2,625","5.68%","90.96%","261","8.48%","9.04%","2,886","5.85%"
"4.1 - 5","4,648","10.05%","92.33%","386","12.54%","7.67%","5,034","10.21%"
"5.1 - 6","1,960","4.24%","93.24%","142","4.61%","6.76%","2,102","4.26%"
"6.1 - 7","1,913","4.14%","94.52%","111","3.61%","5.48%","2,024","4.10%"
"7.1 - 8","1,805","3.90%","93.57%","124","4.03%","6.43%","1,929","3.91%"
"8.1 - 9","776","1.68%","93.83%","51","1.66%","6.17%","827","1.68%"
"9.1 - 10","5,869","12.69%","95.09%","303","9.85%","4.91%","6,172","12.51%"
"10.1 - 12","2,245","4.85%","95.13%","115","3.74%","4.87%","2,360","4.78%"
"12.1 - 15","3,400","7.35%","96.10%","138","4.48%","3.90%","3,538","7.17%"
"15.1 - 20","3,398","7.35%","96.32%","130","4.22%","3.68%","3,528","7.15%"
"20.1 - Over","2,667","5.77%","97.69%","63","2.05%","2.31%","2,730","5.54%"
"Life","6,070","13.13%","95.80%","266","8.64%","4.20%","6,336","12.85%"
"Life Without Parole","410","0.89%","98.32%","7","0.23%","1.68%","417","0.85%"
"Death","100","0.22%","99.01%","1","0.03%","0.99%","101","0.20%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"blank","1","0.01%","100.00%","0","0.00%","0.00%","1","0.01%"
"Total Reported","46,244","100%","93.76%","3,077","100%","6.24%","49,321","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","46,244","","","3,077","","","49,321",""
