"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,540","2.92%","90.80%","156","4.04%","9.20%","1,696","3.00%"
"1.1 - 2","3,273","6.21%","90.59%","340","8.80%","9.41%","3,613","6.38%"
"2.1 - 3","3,868","7.34%","88.90%","483","12.50%","11.10%","4,351","7.69%"
"3.1 - 4","3,153","5.98%","90.73%","322","8.34%","9.27%","3,475","6.14%"
"4.1 - 5","5,135","9.74%","91.27%","491","12.71%","8.73%","5,626","9.94%"
"5.1 - 6","2,336","4.43%","90.30%","251","6.50%","9.70%","2,587","4.57%"
"6.1 - 7","2,263","4.29%","92.10%","194","5.02%","7.90%","2,457","4.34%"
"7.1 - 8","2,070","3.93%","92.25%","174","4.50%","7.75%","2,244","3.97%"
"8.1 - 9","1,488","2.82%","93.12%","110","2.85%","6.88%","1,598","2.82%"
"9.1 - 10","5,734","10.87%","93.77%","381","9.86%","6.23%","6,115","10.81%"
"10.1 - 12","2,758","5.23%","94.58%","158","4.09%","5.42%","2,916","5.15%"
"12.1 - 15","3,994","7.57%","95.32%","196","5.07%","4.68%","4,190","7.40%"
"15.1 - 20","3,942","7.48%","95.94%","167","4.32%","4.06%","4,109","7.26%"
"20.1 - Over","3,397","6.44%","97.31%","94","2.43%","2.69%","3,491","6.17%"
"Life","6,905","13.10%","95.52%","324","8.39%","4.48%","7,229","12.77%"
"Life Without Parole","779","1.48%","97.38%","21","0.54%","2.63%","800","1.41%"
"Death","90","0.17%","98.90%","1","0.03%","1.10%","91","0.16%"
"Youthful Offenders","2","0.01%","100.00%","0","0.00%","0.00%","2","0.01%"
"Total Reported","52,727","100%","93.17%","3,863","100%","6.83%","56,590","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","52,727","","","3,863","","","56,590",""
