"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","462","0.91%","92.77%","36","0.94%","7.23%","498","0.91%"
"1.1 - 2","668","1.32%","91.38%","63","1.64%","8.62%","731","1.34%"
"2.1 - 3","971","1.91%","86.54%","151","3.93%","13.46%","1,122","2.06%"
"3.1 - 4","823","1.62%","89.75%","94","2.45%","10.25%","917","1.68%"
"4.1 - 5","1,998","3.94%","89.52%","234","6.09%","10.48%","2,232","4.09%"
"5.1 - 6","1,096","2.16%","89.54%","128","3.33%","10.46%","1,224","2.24%"
"6.1 - 7","1,131","2.23%","91.36%","107","2.79%","8.64%","1,238","2.27%"
"7.1 - 8","1,179","2.32%","91.40%","111","2.89%","8.60%","1,290","2.36%"
"8.1 - 9","1,214","2.39%","93.38%","86","2.24%","6.62%","1,300","2.38%"
"9.1 - 10","4,137","8.15%","89.84%","468","12.18%","10.16%","4,605","8.44%"
"10.1 - 12","2,534","4.99%","91.71%","229","5.96%","8.29%","2,763","5.06%"
"12.1 - 15","5,364","10.57%","92.34%","445","11.59%","7.66%","5,809","10.64%"
"15.1 - 20","9,658","19.03%","93.62%","658","17.13%","6.38%","10,316","18.90%"
"20.1 - Over","10,768","21.22%","94.54%","622","16.19%","5.46%","11,390","20.86%"
"Life","7,259","14.30%","95.25%","362","9.42%","4.75%","7,621","13.96%"
"Life Without Parole","1,268","2.50%","96.50%","46","1.20%","3.50%","1,314","2.41%"
"Death","126","0.25%","100.00%","0","0.00%","0.00%","126","0.23%"
"Youthful Offenders","93","0.18%","98.94%","1","0.03%","1.06%","94","0.17%"
"Total Reported","50,749","100%","92.96%","3,841","100%","7.04%","54,590","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,749","","","3,841","","","54,590",""
