"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","706","1.39%","94.13%","44","1.12%","5.87%","750","1.37%"
"Twenties (20-29)","13,759","27.15%","93.12%","1,016","25.84%","6.88%","14,775","27.06%"
"Thirties (30-39)","15,423","30.44%","91.70%","1,396","35.50%","8.30%","16,819","30.80%"
"Forties (40-49)","10,609","20.94%","92.31%","884","22.48%","7.69%","11,493","21.05%"
"Fifties (50-59)","7,019","13.85%","93.96%","451","11.47%","6.04%","7,470","13.68%"
"Sixties (60-69)","2,509","4.95%","95.51%","118","3.00%","4.49%","2,627","4.81%"
"Seventy + (70 and above)","648","1.28%","96.57%","23","0.58%","3.43%","671","1.23%"
"Total Reported","50,673","100%","92.80%","3,932","100%","7.20%","54,605","100%"
"Not Reported","264","","","1","","","265",""
"Grand Total","50,937","","","3,933","","","54,870",""
