"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,760","6.08%","96.60%","97","3.43%","3.40%","2,857","5.92%"
"Twenties","14,622","32.19%","94.76%","808","28.57%","5.24%","15,430","31.98%"
"Thirties","13,337","29.36%","93.09%","990","35.01%","6.91%","14,327","29.69%"
"Forties","10,260","22.59%","93.28%","739","26.13%","6.72%","10,999","22.80%"
"Fifties","3,501","7.71%","95.71%","157","5.55%","4.29%","3,658","7.58%"
"Sixties","805","1.77%","95.72%","36","1.27%","4.28%","841","1.74%"
"Seventy +","138","0.30%","99.28%","1","0.04%","0.72%","139","0.29%"
"Total Reported","45,423","100%","94.14%","2,828","100%","5.86%","48,251","100%"
"Not Reported","2","","","0","","","2",""
"Grand Total","45,425","","","2,828","","","48,253",""
