"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","336","0.78%","96.28%","13","0.44%","3.72%","349","0.75%"
"Twenties (20-29)","10,124","23.38%","93.81%","668","22.42%","6.19%","10,792","23.32%"
"Thirties (30-39)","13,451","31.06%","92.62%","1,072","35.99%","7.38%","14,523","31.38%"
"Forties (40-49)","9,808","22.65%","93.19%","717","24.07%","6.81%","10,525","22.74%"
"Fifties (50-59)","6,149","14.20%","94.30%","372","12.49%","5.70%","6,521","14.09%"
"Sixties (60-69)","2,740","6.33%","95.84%","119","3.99%","4.16%","2,859","6.18%"
"Seventy + (70 and above)","692","1.60%","97.46%","18","0.60%","2.54%","710","1.53%"
"Total Reported","43,300","100%","93.56%","2,979","100%","6.44%","46,279","100%"
"Not Reported","358","","","1","","","359",""
"Grand Total","43,658","","","2,980","","","46,638",""
