"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,019","2.08%","97.33%","28","0.74%","2.67%","1,047","1.99%"
"Twenties (20-29)","15,214","31.12%","93.39%","1,076","28.44%","6.61%","16,290","30.93%"
"Thirties (30-39)","14,370","29.40%","92.12%","1,230","32.51%","7.88%","15,600","29.62%"
"Forties (40-49)","11,075","22.66%","91.60%","1,014","26.80%","8.39%","12,090","22.95%"
"Fifties (50-59)","5,620","11.50%","93.84%","369","9.75%","6.16%","5,989","11.37%"
"Sixties (60-69)","1,366","2.79%","95.99%","57","1.51%","4.01%","1,423","2.70%"
"Seventy + (70 and above)","221","0.45%","95.67%","10","0.26%","4.33%","231","0.44%"
"Total Reported","48,885","100%","92.81%","3,784","100%","7.18%","52,670","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","48,885","","","3,784","","","52,670",""
