"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,952","6.04%","95.78%","130","3.64%","4.22%","3,082","5.88%"
"Twenties","15,696","32.11%","93.72%","1,052","29.48%","6.28%","16,748","31.93%"
"Thirties","14,048","28.74%","92.29%","1,173","32.88%","7.71%","15,221","29.02%"
"Forties","11,204","22.92%","92.21%","946","26.51%","7.79%","12,150","23.16%"
"Fifties","3,970","8.12%","94.52%","230","6.45%","5.48%","4,200","8.01%"
"Sixties","863","1.77%","96.64%","30","0.84%","3.36%","893","1.70%"
"Seventy +","155","0.32%","95.68%","7","0.20%","4.32%","162","0.31%"
"Total Reported","48,888","100%","93.20%","3,568","100%","6.80%","52,456","100.0%"
"Not Reported","1","","","0","","","1",""
"Grand Total","48,889","","","3,568","","","52,457",""
