"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","985","1.94%","96.00%","41","1.14%","4.00%","1,026","1.89%"
"Twenties (20-29)","16,256","32.07%","94.15%","1,010","28.18%","5.85%","17,266","31.81%"
"Thirties (30-39)","14,947","29.48%","92.71%","1,175","32.78%","7.29%","16,122","29.70%"
"Forties (40-49)","12,142","23.95%","92.16%","1,033","28.82%","7.84%","13,175","24.27%"
"Fifties (50-59)","5,004","9.87%","94.74%","278","7.76%","5.26%","5,282","9.73%"
"Sixties (60-69)","1,153","2.27%","96.73%","39","1.09%","3.27%","1,192","2.20%"
"Seventy + (70 and above)","210","0.41%","96.33%","8","0.22%","3.67%","218","0.40%"
"Total Reported","50,697","100%","93.40%","3,584","100%","6.60%","54,281","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,697","","","3,584","","","54,281",""
