"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","344","0.79%","96.36%","13","0.43%","3.64%","357","0.76%"
"Twenties (20-29)","10,515","24.08%","93.59%","720","23.82%","6.41%","11,235","24.06%"
"Thirties (30-39)","13,414","30.72%","92.57%","1,076","35.59%","7.43%","14,490","31.03%"
"Forties (40-49)","9,866","22.59%","93.21%","719","23.78%","6.79%","10,585","22.67%"
"Fifties (50-59)","6,202","14.20%","94.44%","365","12.07%","5.56%","6,567","14.06%"
"Sixties (60-69)","2,657","6.08%","95.92%","113","3.74%","4.08%","2,770","5.93%"
"Seventy + (70 and above)","672","1.54%","97.53%","17","0.56%","2.47%","689","1.48%"
"Total Reported","43,670","100%","93.53%","3,023","100%","6.47%","46,693","100%"
"Not Reported","339","","","1","","","340",""
"Grand Total","44,009","","","3,024","","","47,033",""
