"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","984","1.94%","96.00%","41","1.18%","4.00%","1,025","1.89%"
"Twenties (20-29)","16,343","32.18%","94.31%","986","28.26%","5.69%","17,329","31.93%"
"Thirties (30-39)","14,892","29.32%","92.94%","1,131","32.42%","7.06%","16,023","29.52%"
"Forties (40-49)","12,150","23.92%","92.34%","1,008","28.89%","7.66%","13,158","24.24%"
"Fifties (50-59)","5,041","9.93%","94.83%","275","7.88%","5.17%","5,316","9.79%"
"Sixties (60-69)","1,165","2.29%","96.68%","40","1.15%","3.32%","1,205","2.22%"
"Seventy + (70 and above)","214","0.42%","96.40%","8","0.23%","3.60%","222","0.41%"
"Total Reported","50,789","100%","93.57%","3,489","100%","6.43%","54,278","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","50,789","","","3,489","","","54,278",""
