"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,021","2.08%","97.24%","29","0.80%","2.76%","1,050","1.99%"
"Twenties (20-29)","15,267","31.13%","93.71%","1,025","28.26%","6.29%","16,292","30.94%"
"Thirties (30-39)","14,402","29.37%","92.46%","1,174","32.37%","7.54%","15,576","29.58%"
"Forties (40-49)","11,084","22.60%","91.82%","986","27.19%","8.17%","12,071","22.92%"
"Fifties (50-59)","5,658","11.54%","94.25%","345","9.51%","5.75%","6,003","11.40%"
"Sixties (60-69)","1,378","2.81%","95.96%","58","1.60%","4.04%","1,436","2.73%"
"Seventy + (70 and above)","227","0.46%","95.78%","10","0.28%","4.22%","237","0.45%"
"Total Reported","49,037","100%","93.11%","3,627","100%","6.89%","52,665","100.0%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,037","","","3,627","","","52,665",""
