"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,063","2.13%","96.72%","36","0.97%","3.28%","1,099","2.05%"
"Twenties (20-29)","15,650","31.33%","93.77%","1,039","27.87%","6.23%","16,689","31.09%"
"Thirties (30-39)","14,728","29.48%","92.51%","1,192","31.97%","7.49%","15,920","29.66%"
"Forties (40-49)","11,431","22.88%","91.73%","1,030","27.63%","8.27%","12,461","23.21%"
"Fifties (50-59)","5,522","11.05%","93.82%","364","9.76%","6.18%","5,886","10.96%"
"Sixties (60-69)","1,345","2.69%","96.00%","56","1.50%","4.00%","1,401","2.61%"
"Seventy + (70 and above)","215","0.43%","95.13%","11","0.30%","4.87%","226","0.42%"
"Total Reported","49,954","100%","93.06%","3,728","100%","6.94%","53,682","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,954","","","3,728","","","53,682",""
