"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","741","1.46%","95.61%","34","0.87%","4.39%","775","1.42%"
"Twenties (20-29)","13,862","27.40%","93.20%","1,012","25.82%","6.80%","14,874","27.29%"
"Thirties (30-39)","15,327","30.30%","91.55%","1,415","36.11%","8.45%","16,742","30.72%"
"Forties (40-49)","10,555","20.87%","92.27%","884","22.56%","7.73%","11,439","20.99%"
"Fifties (50-59)","6,984","13.81%","93.98%","447","11.41%","6.02%","7,431","13.63%"
"Sixties (60-69)","2,484","4.91%","95.83%","108","2.76%","4.17%","2,592","4.76%"
"Seventy + (70 and above)","634","1.25%","97.09%","19","0.48%","2.91%","653","1.20%"
"Total Reported","50,587","100%","92.81%","3,919","100%","7.19%","54,506","100.0%"
"Not Reported","258","","","1","","","259",""
"Grand Total","50,845","","","3,920","","","54,765",""
