"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","990","2.01%","96.40%","37","1.02%","3.60%","1,027","1.95%"
"Twenties (20-29)","15,450","31.43%","93.88%","1,008","27.80%","6.12%","16,458","31.18%"
"Thirties (30-39)","14,435","29.36%","92.22%","1,218","33.59%","7.78%","15,653","29.65%"
"Forties (40-49)","11,700","23.80%","92.15%","997","27.50%","7.85%","12,697","24.05%"
"Fifties (50-59)","5,160","10.50%","94.30%","312","8.60%","5.70%","5,472","10.37%"
"Sixties (60-69)","1,216","2.47%","96.58%","43","1.19%","3.42%","1,259","2.39%"
"Seventy + (70 and above)","208","0.42%","94.98%","11","0.30%","5.02%","219","0.41%"
"Total Reported","49,159","100%","93.13%","3,626","100%","6.87%","52,785","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,159","","","3,626","","","52,785",""
