"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","989","2.02%","96.11%","40","1.08%","3.89%","1,029","1.95%"
"Twenties (20-29)","15,344","31.30%","93.76%","1,022","27.68%","6.24%","16,366","31.04%"
"Thirties (30-39)","14,392","29.36%","92.01%","1,250","33.86%","7.99%","15,642","29.67%"
"Forties (40-49)","11,681","23.83%","92.06%","1,007","27.28%","7.94%","12,688","24.07%"
"Fifties (50-59)","5,189","10.58%","94.29%","314","8.50%","5.71%","5,503","10.44%"
"Sixties (60-69)","1,219","2.49%","96.21%","48","1.30%","3.79%","1,267","2.40%"
"Seventy + (70 and above)","213","0.43%","95.09%","11","0.30%","4.91%","224","0.42%"
"Total Reported","49,027","100%","93.00%","3,692","100%","7.00%","52,719","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,027","","","3,692","","","52,719",""
