"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","992","2.00%","96.03%","41","1.12%","3.97%","1,033","1.94%"
"Twenties (20-29)","15,627","31.58%","93.83%","1,027","27.97%","6.17%","16,654","31.33%"
"Thirties (30-39)","14,535","29.37%","92.27%","1,217","33.14%","7.73%","15,752","29.63%"
"Forties (40-49)","11,777","23.80%","92.02%","1,021","27.81%","7.98%","12,798","24.07%"
"Fifties (50-59)","5,147","10.40%","94.27%","313","8.52%","5.73%","5,460","10.27%"
"Sixties (60-69)","1,198","2.42%","96.54%","43","1.17%","3.46%","1,241","2.33%"
"Seventy + (70 and above)","211","0.43%","95.48%","10","0.27%","4.52%","221","0.42%"
"Total Reported","49,487","100%","93.09%","3,672","100%","6.91%","53,159","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,487","","","3,672","","","53,159",""
