"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","705","1.42%","96.18%","28","0.77%","3.82%","733","1.37%"
"Twenties (20-29)","14,754","29.70%","93.54%","1,019","27.94%","6.46%","15,773","29.58%"
"Thirties (30-39)","14,821","29.84%","92.23%","1,248","34.22%","7.77%","16,069","30.14%"
"Forties (40-49)","10,099","20.33%","92.57%","810","22.21%","7.43%","10,909","20.46%"
"Fifties (50-59)","6,697","13.48%","93.91%","434","11.90%","6.09%","7,131","13.37%"
"Sixties (60-69)","2,037","4.10%","95.63%","93","2.55%","4.37%","2,130","4.00%"
"Seventy + (70 and above)","556","1.12%","97.37%","15","0.41%","2.63%","571","1.07%"
"Total Reported","49,669","100%","93.16%","3,647","100%","6.84%","53,316","100%"
"Not Reported","150","","","1","","","151",""
"Grand Total","49,819","","","3,648","","","53,467",""
