"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","741","1.49%","95.86%","32","0.89%","4.14%","773","1.45%"
"Twenties (20-29)","14,990","30.07%","93.63%","1,019","28.46%","6.37%","16,009","29.96%"
"Thirties (30-39)","14,800","29.69%","92.42%","1,213","33.88%","7.58%","16,013","29.97%"
"Forties (40-49)","10,201","20.46%","92.80%","791","22.09%","7.20%","10,992","20.57%"
"Fifties (50-59)","6,575","13.19%","93.90%","427","11.93%","6.10%","7,002","13.10%"
"Sixties (60-69)","1,984","3.98%","95.94%","84","2.35%","4.06%","2,068","3.87%"
"Seventy + (70 and above)","565","1.13%","97.58%","14","0.39%","2.42%","579","1.08%"
"Total Reported","49,856","100%","93.30%","3,580","100%","6.70%","53,436","100%"
"Not Reported","121","","","1","","","122",""
"Grand Total","49,977","","","3,581","","","53,558",""
