"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","3,085","6.28%","95.72%","138","3.93%","4.28%","3,223","6.12%"
"Twenties","15,774","32.11%","94.01%","1,005","28.65%","5.99%","16,779","31.88%"
"Thirties","14,210","28.93%","92.12%","1,216","34.66%","7.88%","15,426","29.31%"
"Forties","11,200","22.80%","92.49%","910","25.94%","7.51%","12,110","23.01%"
"Fifties","3,867","7.87%","95.08%","200","5.70%","4.92%","4,067","7.73%"
"Sixties","844","1.72%","96.02%","35","1.00%","3.98%","879","1.67%"
"Seventy +","146","0.30%","97.33%","4","0.11%","2.67%","150","0.28%"
"Total Reported","49,126","100%","93.34%","3,508","100%","6.66%","52,634","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","49,127","","","3,508","","","52,635",""
