"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","750","1.51%","96.53%","27","0.76%","3.47%","777","1.46%"
"Twenties (20-29)","14,941","30.12%","93.68%","1,008","28.51%","6.32%","15,949","30.02%"
"Thirties (30-39)","14,650","29.54%","92.48%","1,191","33.68%","7.52%","15,841","29.81%"
"Forties (40-49)","10,186","20.54%","92.83%","787","22.26%","7.17%","10,973","20.65%"
"Fifties (50-59)","6,526","13.16%","93.89%","425","12.02%","6.11%","6,951","13.08%"
"Sixties (60-69)","1,973","3.98%","95.82%","86","2.43%","4.18%","2,059","3.88%"
"Seventy + (70 and above)","572","1.15%","97.95%","12","0.34%","2.05%","584","1.10%"
"Total Reported","49,598","100%","93.35%","3,536","100%","6.65%","53,134","100%"
"Not Reported","118","","","1","","","119",""
"Grand Total","49,716","","","3,537","","","53,253",""
