"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","2,831","6.07%","95.97%","119","3.62%","4.03%","2,950","5.91%"
"Twenties","14,924","31.98%","94.03%","948","28.81%","5.97%","15,872","31.77%"
"Thirties","13,618","29.18%","92.28%","1,139","34.62%","7.72%","14,757","29.54%"
"Forties","10,682","22.89%","92.56%","859","26.11%","7.44%","11,541","23.10%"
"Fifties","3,648","7.82%","95.17%","185","5.62%","4.83%","3,833","7.67%"
"Sixties","824","1.77%","95.70%","37","1.12%","4.30%","861","1.72%"
"Seventy +","135","0.29%","97.83%","3","0.09%","2.17%","138","0.28%"
"Total Reported","46,662","100%","93.41%","3,290","100%","6.59%","49,952","100%"
"Not Reported","1","","","0","","","1",""
"Grand Total","46,663","","","3,290","","","49,953",""
