"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","282","0.64%","95.59%","13","0.42%","4.41%","295","0.63%"
"Twenties (20-29)","9,879","22.59%","93.76%","657","20.98%","6.24%","10,536","22.48%"
"Thirties (30-39)","13,661","31.24%","92.39%","1,126","35.96%","7.61%","14,787","31.55%"
"Forties (40-49)","10,072","23.03%","92.74%","789","25.20%","7.26%","10,861","23.18%"
"Fifties (50-59)","6,238","14.26%","94.06%","394","12.58%","5.94%","6,632","14.15%"
"Sixties (60-69)","2,865","6.55%","95.60%","132","4.22%","4.40%","2,997","6.40%"
"Seventy + (70 and above)","735","1.68%","97.35%","20","0.64%","2.65%","755","1.61%"
"Total Reported","43,732","100%","93.32%","3,131","100%","6.68%","46,863","100%"
"Not Reported","363","","","1","","","364",""
"Grand Total","44,095","","","3,132","","","47,227",""
