"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","679","1.32%","94.97%","36","0.89%","5.03%","715","1.29%"
"Twenties (20-29)","13,473","26.27%","92.94%","1,024","25.25%","7.06%","14,497","26.19%"
"Thirties (30-39)","15,738","30.68%","91.54%","1,455","35.88%","8.46%","17,193","31.07%"
"Forties (40-49)","10,987","21.42%","92.39%","905","22.32%","7.61%","11,892","21.49%"
"Fifties (50-59)","7,055","13.76%","93.60%","482","11.89%","6.40%","7,537","13.62%"
"Sixties (60-69)","2,680","5.23%","95.37%","130","3.21%","4.63%","2,810","5.08%"
"Seventy + (70 and above)","678","1.32%","96.72%","23","0.57%","3.28%","701","1.27%"
"Total Reported","51,290","100%","92.67%","4,055","100%","7.33%","55,345","100.0%"
"Not Reported","292","","","1","","","293",""
"Grand Total","51,582","","","4,056","","","55,638",""
