"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","1,079","2.00%","97.38%","29","0.74%","2.62%","1,108","1.91%"
"Twenties (20-29)","16,899","31.27%","93.83%","1,112","28.37%","6.17%","18,011","31.07%"
"Thirties (30-39)","15,733","29.11%","92.50%","1,275","32.53%","7.50%","17,008","29.34%"
"Forties (40-49)","11,618","21.50%","91.90%","1,024","26.13%","8.10%","12,642","21.81%"
"Fifties (50-59)","6,524","12.07%","94.47%","382","9.75%","5.53%","6,906","11.91%"
"Sixties (60-69)","1,653","3.06%","95.27%","82","2.09%","4.73%","1,735","2.99%"
"Seventy + (70 and above)","542","1.00%","97.31%","15","0.38%","2.69%","557","0.96%"
"Total Reported","54,048","100%","93.24%","3,919","100%","6.76%","57,967","100%"
"Not Reported","34","","","1","","","35",""
"Grand Total","54,082","","","3,920","","","58,002",""
