"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","660","1.30%","94.83%","36","0.90%","5.17%","696","1.27%"
"Twenties (20-29)","13,211","25.94%","93.05%","986","24.72%","6.95%","14,197","25.85%"
"Thirties (30-39)","15,619","30.67%","91.63%","1,426","35.75%","8.37%","17,045","31.03%"
"Forties (40-49)","11,048","21.69%","92.40%","909","22.79%","7.60%","11,957","21.77%"
"Fifties (50-59)","6,997","13.74%","93.58%","480","12.03%","6.42%","7,477","13.61%"
"Sixties (60-69)","2,703","5.31%","95.38%","131","3.28%","4.62%","2,834","5.16%"
"Seventy + (70 and above)","696","1.37%","97.07%","21","0.53%","2.93%","717","1.31%"
"Total Reported","50,934","100%","92.74%","3,989","100%","7.26%","54,923","100%"
"Not Reported","294","","","1","","","295",""
"Grand Total","51,228","","","3,990","","","55,218",""
