"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","798","1.61%","95.80%","35","1.00%","4.20%","833","1.57%"
"Twenties (20-29)","15,090","30.44%","93.86%","987","28.15%","6.14%","16,077","30.29%"
"Thirties (30-39)","14,449","29.15%","92.50%","1,172","33.43%","7.50%","15,621","29.43%"
"Forties (40-49)","10,374","20.93%","92.63%","826","23.56%","7.38%","11,200","21.10%"
"Fifties (50-59)","6,419","12.95%","94.27%","390","11.12%","5.73%","6,809","12.83%"
"Sixties (60-69)","1,867","3.77%","95.84%","81","2.31%","4.16%","1,948","3.67%"
"Seventy + (70 and above)","574","1.16%","97.45%","15","0.43%","2.55%","589","1.11%"
"Total Reported","49,571","100%","93.39%","3,506","100%","6.61%","53,077","100%"
"Not Reported","94","","","1","","","95",""
"Grand Total","49,665","","","3,507","","","53,172",""
