"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","316","0.73%","97.23%","9","0.30%","2.77%","325","0.70%"
"Twenties (20-29)","9,938","22.90%","93.91%","645","21.33%","6.09%","10,583","22.80%"
"Thirties (30-39)","13,584","31.30%","92.55%","1,093","36.14%","7.45%","14,677","31.62%"
"Forties (40-49)","9,896","22.80%","92.93%","753","24.90%","7.07%","10,649","22.94%"
"Fifties (50-59)","6,153","14.18%","94.07%","388","12.83%","5.93%","6,541","14.09%"
"Sixties (60-69)","2,807","6.47%","96.00%","117","3.87%","4.00%","2,924","6.30%"
"Seventy + (70 and above)","703","1.62%","97.37%","19","0.63%","2.63%","722","1.56%"
"Total Reported","43,397","100%","93.49%","3,024","100%","6.51%","46,421","100.0%"
"Not Reported","358","","","1","","","359",""
"Grand Total","43,755","","","3,025","","","46,780",""
